code,start_trade_date,end_trade_date,start_close,end_close,div_sum_per_share,div_event_count,additional_shares_per_share,additional_event_count,additional_value_per_share,bonus_allot_desc,total_return,name,annualized_return,error,total_return_pct,annualized_return_pct
600519,2019-01-02,2026-01-09,598.98,1419.1,245.847,11.0,0.0,0.0,0.0,,1.7796370496510732,贵州茅台,0.1566560479299195,,177.96370496510733,15.66560479299195
000858,2019-01-02,2026-01-09,49.94,107.14,26.278,9.0,0.0,0.0,0.0,,1.671565879054866,五 粮 液,0.15014489008816456,,167.1565879054866,15.014489008816456
000568,2019-01-02,2026-01-09,39.6,116.86,24.010080000000002,8.0,0.0,0.0,0.0,,2.557325252525253,泸州老窖,0.19799658254589203,,255.73252525252528,19.799658254589204
001220,2019-01-02,2026-01-09,,,,,,,,,,001220,,No price data for 001220 on 2019-01-02,,
000596,2019-01-02,2026-01-09,52.8,137.68,20.2,8.0,0.0,0.0,0.0,,1.9901515151515152,古井贡酒,0.16873926549738494,,199.01515151515153,16.873926549738492
600809,2019-01-02,2026-01-09,34.2,176.55,17.400000000000002,8.0,0.4,1.0,70.62,"2021-07-05: 送0.4000股/股, 转0.0000股/股",6.735964912280703,山西汾酒,0.3380892979885688,,673.5964912280702,33.80892979885688
600779,2019-01-02,2026-01-09,30.89,39.31,7.177,7.0,0.0,0.0,0.0,,0.504920686306248,水井坊,0.05991264511337313,,50.4920686306248,5.991264511337313
603369,2019-01-02,2026-01-09,14.37,35.47,4.71,7.0,0.0,0.0,0.0,,1.7961029923451637,今世缘,0.15762896764987366,,179.61029923451636,15.762896764987367
