code,start_trade_date,end_trade_date,start_close,end_close,div_sum_per_share,div_event_count,total_return,name,annualized_return,total_return_pct,annualized_return_pct
600519,2019-01-02,2026-01-09,598.98,1419.1,245.847,11,1.7796370496510732,贵州茅台,0.1566560479299195,177.96370496510733,15.66560479299195
000001,2019-01-02,2026-01-09,9.19,11.46,2.6189999999999998,9,0.5319912948857455,平安银行,0.06260606122908419,53.19912948857455,6.260606122908419
000568,2019-01-02,2026-01-09,39.6,116.86,24.010080000000002,8,2.557325252525253,泸州老窖,0.19799658254589203,255.73252525252528,19.799658254589204
