code,start_trade_date,end_trade_date,start_close,end_close,div_sum_per_share,div_event_count,total_return,total_return_pct
600519,2019-01-02,2026-01-09,598.98,1419.1,2458.47,11,5.47362182376707,547.362182376707
000001,2019-01-02,2026-01-09,9.19,11.46,26.19,9,3.0968443960826995,309.68443960826994
000568,2019-01-02,2026-01-09,39.6,116.86,240.1008,8,8.014161616161616,801.4161616161616
